ertek,egyseg,egyedi_hash
3997,Ft/kg,b8e3a86baf6571d84e4b040299898d12b0d973131a9e2c5a25926d2d9f44d882
4719,Ft/kg,9382c70902c3579f2a3427630621ab68382c1061778baa1d10fcaf240a96d333
4164,Ft/kg,9382c70902c3579f2a3427630621ab68382c1061778baa1d10fcaf240a96d333
3999,Ft/kg,486e36c957954500fbbef6c942c31e0b16cbbfff1989af050d215c7f7f4b77f3
3199,Ft/kg,486e36c957954500fbbef6c942c31e0b16cbbfff1989af050d215c7f7f4b77f3
5553,Ft/kg,7c505548b0017e0af2d9cb538cc8d4478b7993209b3fd07ee0227a6309d53c30
3553,Ft/kg,7c505548b0017e0af2d9cb538cc8d4478b7993209b3fd07ee0227a6309d53c30
4598,Ft/kg,0ce68db90b232d83fc02cc00389db88cd42e1fd9a7c458b36b819b48772899dd
3998,Ft/kg,0ce68db90b232d83fc02cc00389db88cd42e1fd9a7c458b36b819b48772899dd
1396,Ft/kg,c9d815c4ce739b3047a3b98dece4224c354e4fad302bf2ded8be3228335aa9ba
1664,Ft/kg,e2d1d6ebd6d7b84d7c07d1a4395770ac8f37c6b60dfa508fd5290f4842cb501e
906,Ft/kg,e2d1d6ebd6d7b84d7c07d1a4395770ac8f37c6b60dfa508fd5290f4842cb501e
2123,Ft/kg,838c2b5a2d8a63434ca8dc21ed445ab3de6de51a97f934ba1f185686f06cbc92
1498,Ft/kg,838c2b5a2d8a63434ca8dc21ed445ab3de6de51a97f934ba1f185686f06cbc92
1053,Ft/kg,3ad4fe06bca86064af062cc9e5018ef507176e7554e2eb0233986cab64ed1327
927,Ft/kg,3ad4fe06bca86064af062cc9e5018ef507176e7554e2eb0233986cab64ed1327
1758,Ft/kg,b7b61c7e79fb4eb8c02ca4a739435b265eb1c093836a9346d5589ce2ce361253
767.78,Ft/kg,ce308151111f296d894234c85e43ddc660628ef2515aa483a2dfe6fe82e449a2
1698,Ft/kg,b9fac0b0b99c1451cbd25a206f4cb7cc0b551112167c9de105ee624bb3bfc4b9
1398,Ft/kg,b9fac0b0b99c1451cbd25a206f4cb7cc0b551112167c9de105ee624bb3bfc4b9
9717,Ft/kg,a5b42a0f21b1e2927d8f2f8aa836dbaf06615bdc3e8ce1755e735840fad1e08f
6661,Ft/kg,a5b42a0f21b1e2927d8f2f8aa836dbaf06615bdc3e8ce1755e735840fad1e08f
12660,Ft/kg,749aeb2340c54e554df74773ad9f41c52f92329ac7d192605428b1c356d049ec
9660,Ft/kg,749aeb2340c54e554df74773ad9f41c52f92329ac7d192605428b1c356d049ec
8990,Ft/kg,891626d8a9a4f3fa80354ddf03daa4e203f4d00c4fc9e57f1d9a08a4061df9c0
5790,Ft/kg,891626d8a9a4f3fa80354ddf03daa4e203f4d00c4fc9e57f1d9a08a4061df9c0
4996,Ft/kg,024b1de0bcd180323baa68a008b09dac92b6dfbe14eb17ff299418524d719105
3746,Ft/kg,024b1de0bcd180323baa68a008b09dac92b6dfbe14eb17ff299418524d719105
9327,Ft/kg,cdbf9c3af50f701401f67659215f030cabf9f88841d3fa17d3e2cc861c6ef4cd
7327,Ft/kg,cdbf9c3af50f701401f67659215f030cabf9f88841d3fa17d3e2cc861c6ef4cd
11238,Ft/kg,2edf6db95b11a4c3eddb00de17b95044c1cf61a790db4913e8ca8a371b5ad230
7238,Ft/kg,2edf6db95b11a4c3eddb00de17b95044c1cf61a790db4913e8ca8a371b5ad230
1890,Ft/kg,aacdddd32ecb5a78d373741c78bd27f5763e43848d8d9413cec352d581713ca9
4990,Ft/kg,cdc90a844344dde0ed9b9a5c3a42dfcb588b2807551fbd469eb362abe9eab2f3
6327,Ft/kg,0e4bf0f0b4c19fb453b25898e4e181680c814079b9b4c24de55152fbcbd6d271
3993,Ft/kg,0e4bf0f0b4c19fb453b25898e4e181680c814079b9b4c24de55152fbcbd6d271
4745,Ft/kg,4aa1813bf48cb7d90cfbb74b1a9d63619a775d37faa442547892cc6c3defe2a1
3495,Ft/kg,4aa1813bf48cb7d90cfbb74b1a9d63619a775d37faa442547892cc6c3defe2a1
3745,Ft/kg,7c943fc387bd6e6890308aedada3f9f17eeeb1a8020e57635201fcfc87733295
7727,Ft/kg,677f1802d1d5f42c760f0e83de9b2b13d6eb21742bdef3a6215236030dd22faa
5327,Ft/kg,677f1802d1d5f42c760f0e83de9b2b13d6eb21742bdef3a6215236030dd22faa
3329.17,Ft/kg,dd8d4a89c746a31396a249712797caaaea1b02267cadba6bd4e1574e55266eac
4996,Ft/kg,4f4df685654bb663436caf7245008512dcc935fb31065c968c3204acd0e71b6d
3746,Ft/kg,4f4df685654bb663436caf7245008512dcc935fb31065c968c3204acd0e71b6d
6171,Ft/kg,23f3c998cd4ab4e50aabe98f25a0186b1ff87572c335a16545d50522286955c8
5288,Ft/kg,23f3c998cd4ab4e50aabe98f25a0186b1ff87572c335a16545d50522286955c8
5832,Ft/kg,65238d8894a93beae7994cb37cd0ece609167ba11f864070d75b2cc732b4f532
4665,Ft/kg,65238d8894a93beae7994cb37cd0ece609167ba11f864070d75b2cc732b4f532
1273,Ft/kg,70475cc42fe034ea0f8be05942d9399dee8897ea7aec0da922ca59602400978e
1207,Ft/kg,70475cc42fe034ea0f8be05942d9399dee8897ea7aec0da922ca59602400978e
1178,Ft/kg,165afa9cbbe546a8282020b606f8f83cb126349c617d4323538ac7b7f87b14bc
3495,Ft/kg,3d3163f4e841be4435418a1f19251daf32b7e79dbbfea4fe5c2597737e4b8ab5
2995,Ft/kg,3d3163f4e841be4435418a1f19251daf32b7e79dbbfea4fe5c2597737e4b8ab5
2796,Ft/l,e6de4c2727af9c461b7dcf49b0c7c19c90682f632e9459d91c35701effa4df8e
2476,Ft/l,e6de4c2727af9c461b7dcf49b0c7c19c90682f632e9459d91c35701effa4df8e
179,Ft/l,485401bdd90436090ca39e1c7bb9a1c4cd9e10e424127038ee19148465e37b0b
886.67,Ft/l,1d4a05e62a421470432346e82b343162df0a30826a0ebd75101c734d729f2d2b
1838,Ft/kg,e805d65dde1e7a9214bf30dbf3043a49ab1e8042836c630d7da52e9fca7275d7
1538,Ft/kg,e805d65dde1e7a9214bf30dbf3043a49ab1e8042836c630d7da52e9fca7275d7
7251,Ft/kg,ed17b37165146b0844d9647b08fa79ec7545559d5d602dfd690cc50f2b5254c0
6271,Ft/kg,ed17b37165146b0844d9647b08fa79ec7545559d5d602dfd690cc50f2b5254c0
1395,Ft/kg,7a89359ee97349affd697e32029b3282db35c62c3f62cb3e903dda51d867abf7
6661.9,Ft/kg,c4ed1e32a909dc7235c4ec076b45af4d1b4615beba142f54998da957bd47c312
2427,Ft/kg,229c7959ad289b950c4ec27fc5eecb5586aca596a637756e65b3e446d3501c84
1950,Ft/kg,229c7959ad289b950c4ec27fc5eecb5586aca596a637756e65b3e446d3501c84
7761,Ft/kg,ddd80a35b88af0cf2c8f8f18c57f7a43504fd0e35414c9d0a7d654ae6b30c08d
6271,Ft/kg,ddd80a35b88af0cf2c8f8f18c57f7a43504fd0e35414c9d0a7d654ae6b30c08d
5196,Ft/l,1f929abf3f624396c6df2e144a78c31e544677a1447a183e8c2ab0041b1d8547
3996,Ft/l,1f929abf3f624396c6df2e144a78c31e544677a1447a183e8c2ab0041b1d8547
5196,Ft/l,dbd613e0d3951f1ff375bb29dcdb6148d9d71a138eeb7209f69975bbe41447ca
